id,lastpage,study,vig1rep1,vig1rep2,vig1eve11,vig1eve12,vig1eve21,vig1eve22,vig1def1,vig1def2,vig1cha1,vig1cha2,vig1cha3,vig1com1,vig1com2,vig1com3,vig1qua1,vig1qua2,vig1qua3,vig2rep1,vig2rep2,vig2rep3,vig2rep4,vig2eve1,vig2eve2,vig2eve3,vig2eve4,vig2def1,vig2def2,vig2def3,vig2def4,vig2cha1,vig2cha2,vig2cha3,vig2cha4,vig2com1,vig2com2,vig2com3,vig2com4,vig2qua1,veg2qua2,vig2qua3,vig3rep1,vig3rep2,vig3eve1,vig3eve2,vig3def11,vig3def12,vig3def21,vig3def22,vig3cha1,vig3cha2,vig3cha3,vig3com11,vig3com12,vig3com13,vig3com21,vig3com22,vig3com23,vig3qua1,vig3qua2,vig3qua3,age,pol,gen,edu
37,37,6,,,,,,,,,,,,7,7,7,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,7,3,7
38,37,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,,,N,Y,,24,5,1,6
39,37,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,,,,,,,N,Y,,45,5,1,14
40,18,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,1,7,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
41,37,2,,,7,5,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,7,3,14
42,18,9,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
43,37,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,N,Y,,52,5,1,7
44,22,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,37,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,3,,,,,,,N,Y,,36,2,3,3
46,18,9,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
47,37,4,,,,,,,5,4,,,,,,,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,6,3,7
48,23,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,37,4,,,,,,,7,3,,,,,,,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,3,3,6
50,37,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,,,,,,,,,,,N,Y,Y,41,6,1,5
51,37,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,,,,,,,,,,N,Y,,26,5,3,6
52,37,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,N,Y,,73,5,1,7
53,22,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,18,7,,,,,,,,,,,,,,,,,,7,3,4,7,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
55,30,3,,,,,7,7,,,,,,,,,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,37,6,,,,,,,,,,,,1,7,7,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,5,1,7
57,30,7,,,,,,,,,,,,,,,,,,7,1,1,7,,,,,,,,,,,,,,,,,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,
58,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,37,8,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,23,5,1,8
60,28,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,Y,,,,,,
61,37,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,N,N,Y,,,,,,,,,,,,,,,,,,,,,26,4,3,6
